"role","file","source","source_commit","note"
"frq","bet.frq","reference-inputs/job-5319/mfcl-inputs/bet.frq","","Exact retained Job 5319 effort-crept bet.frq; SHA-256 d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c. For F21/F22/F23, observed LF counts are unchanged; no cutoff is applied. This model retains its previously selected cutoff treatment. No FRQ transform is applied. Effort creep is not reapplied."
"ini","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/86627214cbac6db5766841e404bb32ea4f6afe61/BET/ini.mix-period/bet.2026.mix-0.15.ini","86627214cbac6db5766841e404bb32ea4f6afe61","Upstream mix-period 0.15 INI (SHA-256 b8a43730e7808c0f2d0f07924a2e175910294ce63a1359c2585b44f9e5e2dad6). The model retains every upstream field; TAGF2OFF changes only all 98 tag_flags(:,2) values from 1 to 0. Matched OFF control: S027-DM-G7OSHL-CEST-NOCUT-SUB075-MIX015-TAGF2OFF-NMAX20-REGW1-RRPTTP26. PTTP-derived Region 2/3/4 priors are propagated across matched active RTTP and PTTP groups: purse-seine priors: F19/F20 Region 2 mean 0.4962, target 49.62, penalty 354.5; F25/F27 Region 3 mean 0.5121, target 51.21, penalty 739.2; F26/F28 Region 4 mean 0.5282, target 52.82, penalty 231.2. Active groups 7, 14, 10, 17, and 18 receive the values; JPTP group 29 retains mean 0.5, target 50, and penalty 1, while inactive groups 26, 11, and 30 remain zero. Reporting-group membership and active flags are unchanged."
"tag","bet.tag","reference-inputs/job-5319/mfcl-inputs/bet.tag","79733c429b320e84ed5047aa6c932c8f19dab187","Latest tag data from PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep@79733c429b320e84ed5047aa6c932c8f19dab187 (main); tag SHA-256 3f1b836a844ec2ca8e70fc5814d94c5a1ebc37ff4a5571c1dc1f6b83e477dfe8; byte-identical to PDH 13-DataWeighting."
"age_length","bet.age_length","reference-inputs/age-length-variants/bet.2026.sub.basin.0.75.age_length","96a06d21ef3c666f39ce456d3a6818b6c17324c4","Exact SUB075 age-length input from https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build@96a06d21ef3c666f39ce456d3a6818b6c17324c4; original file bet.2026.sub.basin.0.75.age_length; SHA-256 426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c."
"reg_scaling","bet.reg_scaling","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling","26c74dc6f303faa951b1ab331d7de14ea20b7489","Active 20x5 regional-scaling matrix retained unchanged. Parest flag 77 is 1: standardized SD multiplier 1.0000 (empirical covariance Sigma); flags 78-81 and the 1965-1969 window are unchanged."
"reg_scaling_full","bet.reg_scaling.full","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling.full","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Complete 292x5 sensitivity source retained for alternative period windows; not read by MFCL."
"doitall","doitall.sh","sensitivity/S035-DM-G5PROC-CEST-NOCUT-TAGF2ON/model/doitall.sh","20c19b02498a6ee22cc39441a073159accca020b","Matched DM-noRE G7OSHL-CEST doitall with Nmax20 directly from phase 1; fixed DW10 is not used by the DM likelihood. Parest flag 77 is 1."
"mfcl_config","mfcl.cfg","reference-inputs/job-5319/mfcl-inputs/mfcl.cfg","","MFCL-setting-identical to the retained Job 5319 anchor; public explanatory doitall comments are normalized in the refreshed reference bundle; reference-set SHA-256 a864b81f4d07321e977454a0d4c8389c8008b00159f374601f40ad6a6f7379d7."
"fishery_map","fishery_map.R","reference-inputs/job-5319/mfcl-inputs/fishery_map.R","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Updated fishery names plus corrected independent F1-F28 display groups; regional indices share group 29 in phases 1-4 and split to groups 29:33 in phase 5."
"tag_reporting_map","tag_rep_map.R","reference-inputs/job-5319/mfcl-inputs/tag_rep_map.R","","Generated from the derived bet.ini and refreshed fishery_map.R; INI upstream PacificCommunity/ofp-sam-2026-BET-YFT-build-ini@548de05aff9bdc96a9ee7a817bbfd8068020ba26; fishery metadata Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). reporting groups match bet.ini and bet.tag."
"design_context","job-config.R","job-config.R","","Public 32-model SUB075 NOCUT design: the original sixteen manual-8/10 reporting-prior models and sixteen exact PTTP26 counterparts, each crossing robust-normal/DM, TAGF2OFF/ON, and regional-scaling weights 50/11/1/0."
