"role","file","source","source_commit","note"
"frq","bet.frq","reference-inputs/job-5319/mfcl-inputs/bet.frq","","Exact retained Job 5319 effort-crept bet.frq; SHA-256 d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c. For F21/F22/F23, observed LF counts are unchanged; no cutoff is applied. This model retains its previously selected cutoff treatment. No FRQ transform is applied. Effort creep is not reapplied. All extraction and index LF observations are retained byte-for-byte. The normal-likelihood flag-49 extra /2 correction is inert under option 11 and therefore is not reproduced in this DM sensitivity."
"ini","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/548de05aff9bdc96a9ee7a817bbfd8068020ba26/BET/ini.mix-period/bet.2026.mix-0.2.ini","548de05aff9bdc96a9ee7a817bbfd8068020ba26","Upstream INI from PacificCommunity/ofp-sam-2026-BET-YFT-build-ini@548de05aff9bdc96a9ee7a817bbfd8068020ba26 path BET/ini.mix-period/bet.2026.mix-0.2.ini. Tag-control ini SHA-256 932f57a96140400ae327cc47291316840c63c492542724a967c48ed002157117; the only intentional deviation from that upstream file is that all 98 tag_flags(:,2) values are 0."
"tag","bet.tag","reference-inputs/job-5319/mfcl-inputs/bet.tag","79733c429b320e84ed5047aa6c932c8f19dab187","Latest tag data from PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep@79733c429b320e84ed5047aa6c932c8f19dab187 (main); tag SHA-256 3f1b836a844ec2ca8e70fc5814d94c5a1ebc37ff4a5571c1dc1f6b83e477dfe8; byte-identical to PDH 13-DataWeighting."
"age_length","bet.age_length","reference-inputs/age-length-variants/bet.2026.sub.basin.1.age_length","96a06d21ef3c666f39ce456d3a6818b6c17324c4","Exact SUB100 age-length input from https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build@96a06d21ef3c666f39ce456d3a6818b6c17324c4; original file bet.2026.sub.basin.1.age_length; SHA-256 7e6c0513e2f36ca2044c1d5a2de37c589c75fafabc3fd96b45683cbb1236b083."
"reg_scaling","bet.reg_scaling","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). MFCL-ready active matrix, exactly full-source rows 53:72 (20x5); fixed weight 50."
"reg_scaling_full","bet.reg_scaling.full","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling.full","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Complete 292x5 sensitivity source retained for alternative period windows; not read by MFCL."
"doitall","doitall.sh","reference-inputs/job-5319/mfcl-inputs/doitall.sh","","Retained Job 5319 doitall sequence with LF likelihood option 11; the LF preprocessing gate and N < 50 filter retained; percentage and DM-specific LF tail compression retains at least five class intervals; DM maximum effective sample size 1000; 5 reviewed LF group(s); group-specific scalar exponents estimated from PHASE1; the relative sample-size exponent is fixed at zero in PHASE1 and estimated from PHASE2; no LF cutoff is applied. Inherited flag-49 lines are inert under DM-noRE, so the normal models' fixed extra /2 is not reproduced. These are deliberate DM grouping/overdispersion sensitivities, not exact duplicate-use corrections. The corrected N5 baseline assigns independent selectivity groups to F1-F28, applies the audited young-age, F9 monotonicity, and upper-age constraints, uses five nodes, and splits regional-index groups F29-F33 in phase 5. Extraction constraints are mapped from PacificCommunity/ofp-sam-bet-yft-2026-single-area@5363029b509cacf902aef2866efdc04634c89045."
"mfcl_config","mfcl.cfg","reference-inputs/job-5319/mfcl-inputs/mfcl.cfg","","Byte-identical to the retained Job 5319 anchor in the refreshed reference bundle; reference-set SHA-256 66532e40a12135811e23ef92434e7d011a3db3a8846e56928ec4080106b97fa3."
"fishery_map","fishery_map.R","reference-inputs/job-5319/mfcl-inputs/fishery_map.R","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Updated fishery names plus corrected independent F1-F28 display groups; regional indices share group 25 in phases 1-4 and split to groups 25:29 in phase 5."
"tag_reporting_map","tag_rep_map.R","reference-inputs/job-5319/mfcl-inputs/tag_rep_map.R","","Generated from the derived bet.ini and refreshed fishery_map.R; INI upstream PacificCommunity/ofp-sam-2026-BET-YFT-build-ini@548de05aff9bdc96a9ee7a817bbfd8068020ba26; fishery metadata Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). reporting groups match bet.ini and bet.tag."
