"role","file","source","source_commit","note"
"frq","bet.frq","reference-inputs/job-5319/mfcl-inputs/bet.frq","","Exact retained Job 5319 effort-crept bet.frq; SHA-256 d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c. For F21/F22/F23, observed LF counts in bins with midpoint above the 90 cm cutoff are set to zero. The 90 cm threshold reproduces the historical treatment documented in WCPFC-SC19-2023/SA-WP-05 for the corresponding Indonesia, Philippines, and Vietnam domestic small-fish length compositions; 90 cm is retained and only bins with midpoint greater than 90 cm are zeroed. Counts are not transferred; retained LF categories use MFCL option 11; MFCL internally normalizes retained counts; an all-zero LF vector becomes one -1 whole-sample sentinel. Effort creep is not reapplied. All F29/F30/F31/F32/F33 index LF observations are retained unchanged. Only the established F21/F22/F23 upper-bin cutoff transform is applied. The normal-likelihood flag-49 extra /2 correction is inert under option 11 and therefore is not reproduced in this DM sensitivity."
"ini","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/548de05aff9bdc96a9ee7a817bbfd8068020ba26/BET/ini.mix-period/bet.2026.mix-0.2.ini","548de05aff9bdc96a9ee7a817bbfd8068020ba26","Upstream INI from PacificCommunity/ofp-sam-2026-BET-YFT-build-ini@548de05aff9bdc96a9ee7a817bbfd8068020ba26 path BET/ini.mix-period/bet.2026.mix-0.2.ini. Tag-control ini SHA-256 932f57a96140400ae327cc47291316840c63c492542724a967c48ed002157117; the only intentional deviation from that upstream file is that all 98 tag_flags(:,2) values are 0."
"tag","bet.tag","reference-inputs/job-5319/mfcl-inputs/bet.tag","79733c429b320e84ed5047aa6c932c8f19dab187","Latest tag data from PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep@79733c429b320e84ed5047aa6c932c8f19dab187 (main); tag SHA-256 3f1b836a844ec2ca8e70fc5814d94c5a1ebc37ff4a5571c1dc1f6b83e477dfe8; byte-identical to PDH 13-DataWeighting."
"age_length","bet.age_length","reference-inputs/job-5319/mfcl-inputs/bet.age_length","","Byte-identical to the retained Job 5319 anchor in the refreshed reference bundle; reference-set SHA-256 66532e40a12135811e23ef92434e7d011a3db3a8846e56928ec4080106b97fa3."
"reg_scaling","bet.reg_scaling","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). MFCL-ready active matrix, exactly full-source rows 53:72 (20x5); fixed weight 50."
"reg_scaling_full","bet.reg_scaling.full","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling.full","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Complete 292x5 sensitivity source retained for alternative period windows; not read by MFCL."
"doitall","doitall.sh","reference-inputs/job-5319/mfcl-inputs/doitall.sh","","Retained Job 5319 doitall sequence with LF likelihood option 11; the LF preprocessing gate and N < 50 filter retained; percentage and DM-specific LF tail compression retains at least five class intervals; DM maximum effective sample size 1000; 5 reviewed LF group(s); group-specific scalar exponents estimated from PHASE1; the relative sample-size exponent is fixed at zero in PHASE1 and estimated from PHASE2; the established F21/F22/F23 cutoff above 90 cm is applied. Inherited flag-49 lines are inert under DM-noRE, so the normal models' fixed extra /2 is not reproduced. These are deliberate DM grouping/overdispersion sensitivities, not exact duplicate-use corrections. IDX-Z2 retains the current extraction settings and five independent regional indices, adding first-two-age-zero constraints only to F29-F33. No extraction selectivity control is changed."
"mfcl_config","mfcl.cfg","reference-inputs/job-5319/mfcl-inputs/mfcl.cfg","","Byte-identical to the retained Job 5319 anchor in the refreshed reference bundle; reference-set SHA-256 66532e40a12135811e23ef92434e7d011a3db3a8846e56928ec4080106b97fa3."
"fishery_map","fishery_map.R","reference-inputs/job-5319/mfcl-inputs/fishery_map.R","26c74dc6f303faa951b1ab331d7de14ea20b7489","Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). Updated fishery names used by MFCLShiny."
"tag_reporting_map","tag_rep_map.R","reference-inputs/job-5319/mfcl-inputs/tag_rep_map.R","","Generated from the derived bet.ini and refreshed fishery_map.R; INI upstream PacificCommunity/ofp-sam-2026-BET-YFT-build-ini@548de05aff9bdc96a9ee7a817bbfd8068020ba26; fishery metadata Refreshed from PacificCommunity/ofp-sam-bet-2026-stepwise@26c74dc6f303faa951b1ab331d7de14ea20b7489 (experiment/tag-grouping-reg-scaling-2026). reporting groups match bet.ini and bet.tag."
"frq_transform_audit","lf_cutoff_audit.csv","reference-inputs/job-5319/mfcl-inputs/bet.frq",,"For F21/F22/F23, observed LF counts in bins with midpoint above the 90 cm cutoff are set to zero. The audit reconciles removed counts, affected records, all-zero LF sentinels, and minimum-sample crossings."
