"role","file","source","source_commit","note"
"frq","bet.frq","reference-inputs/job-5319/mfcl-inputs/bet.frq",,"Exact Job 5319 archived effort-crept bet.frq; SHA-256 d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c. For F21/F22/F23, observed LF counts in bins with midpoint above the 70 cm cutoff are set to zero. Counts are not transferred; LF categories remain in the MFCL option-3 likelihood; MFCL internally renormalizes retained counts; an all-zero LF vector becomes one -1 whole-sample sentinel. Effort creep is not reapplied."
"ini","bet.ini","reference-inputs/job-5319/mfcl-inputs/bet.ini",,"Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"tag","bet.tag","reference-inputs/job-5319/mfcl-inputs/bet.tag",,"Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"age_length","bet.age_length","reference-inputs/job-5319/mfcl-inputs/bet.age_length",,"Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"reg_scaling","bet.reg_scaling","reference-inputs/job-5319/mfcl-inputs/bet.reg_scaling",,"Rows 53:72 copied verbatim from the Job 5319 archived 292x5 bet.reg_scaling source, yielding exactly 20x5; fixed weight 50."
"doitall","doitall.sh","reference-inputs/job-5319/mfcl-inputs/doitall.sh",,"Exact Job 5319 archived doitall control sequence except parest flag 313=5 and three new flag-49 overrides for F21/F22/F23, each with divisor 200; inherited settings for every other fishery are unchanged."
"mfcl_config","mfcl.cfg","reference-inputs/job-5319/mfcl-inputs/mfcl.cfg",,"Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"fishery_map","fishery_map.R","reference-inputs/job-5319/mfcl-inputs/fishery_map.R",,"Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"tag_reporting_map","tag_rep_map.R","reference-inputs/job-5319/mfcl-inputs/tag_rep_map.R",,"Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"frq_transform_audit","lf_cutoff_audit.csv","reference-inputs/job-5319/mfcl-inputs/bet.frq",,"For F21/F22/F23, observed LF counts in bins with midpoint above the 70 cm cutoff are set to zero. The audit reconciles removed counts, affected records, all-zero LF sentinels, and minimum-sample crossings."
